m,Projective,Affine,Ruzsa
442,9.19982,7.66142,4.70262
443,9.42417,8.16555,4.86075
444,10.1014,8.12731,4.20914
445,9.25007,8.71569,4.7955
446,9.76956,9.56902,4.75857
447,8.92809,9.12445,5.44593
448,9.11163,8.74381,4.76417
449,8.6263,8.02494,3.54405
450,9.37431,8.00792,3.73662
451,9.94672,8.09369,3.64444
452,10.0543,9.02145,3.95424
453,9.73484,9.21402,4.64746
454,8.79218,8.27475,5.11806
455,9.05157,8.5294,4.45921
456,9.63916,8.1239,4.81379
457,9.48464,8.22834,5.04093
458,10.0726,8.51029,5.1148
459,9.29454,8.44812,5.40326
460,9.04767,8.46927,5.03407
461,9.73954,8.74012,5.4871
462,10.0133,9.10928,5.39623
463,8.98789,8.62791,5.84576
464,8.65398,7.85748,4.95098
465,9.56504,7.78342,5.49592
466,9.58462,8.56476,5.28751
467,9.51011,7.29683,3.72039
468,9.05011,6.9436,3.18606
469,8.34286,7.73001,3.89679
470,8.05195,7.86149,4.85809
471,8.54892,7.88662,5.66034
472,8.36437,7.98707,6.01502
473,8.59823,8.85347,6.15956
474,8.93871,8.88281,6.82765
475,9.47127,8.81549,7.47139
476,9.02891,7.65611,7.3082
477,9.31742,7.92538,7.23623
478,9.42557,7.79473,6.85777
479,9.27774,8.61186,4.40017
480,8.51723,7.84431,5.0179
481,7.89536,8.51402,5.58755
482,8.72946,7.98101,5.80571
483,9.26273,8.43494,5.50445
484,9.10001,9.08738,5.29341
485,8.99265,9.22589,5.01563
486,9.42367,7.96444,4.8919
487,9.30658,8.25999,4.70341
488,9.01461,7.43471,4.6492
489,8.67927,7.79111,5.18702
490,8.77033,8.34764,4.82787
491,8.84753,7.78576,4.71922
492,8.20149,7.72115,4.84191
493,7.53321,7.79283,5.05738
494,8.17699,8.36639,5.03681
495,8.16533,8.35639,4.45031
496,8.35054,8.27979,4.64473
497,8.67838,8.58317,5.37413
498,9.39894,8.4165,5.56828
499,10.0634,8.71845,4.85528
500,9.42381,7.89635,5.04142
501,9.47381,8.61803,4.81254
502,9.59468,9.0568,4.72141
503,9.5114,8.07172,4.16536
504,9.00808,8.2783,4.97695
505,8.78936,8.5073,5.067
506,9.58586,8.7566,5.41534
507,9.71437,9.17373,5.59996
508,9.34982,9.50326,5.41667
509,9.36713,8.65912,4.09803
510,10.059,8.22914,3.9832
511,9.32182,8.55,4.29989
512,9.53309,8.94036,4.56429
513,10.3182,7.89308,4.5327
514,8.40629,7.49235,4.76823
515,9.04447,7.90829,5.3354
516,8.39681,8.15061,5.31614
517,8.8268,8.13361,5.57845
518,8.8183,7.94314,5.83596
519,9.0853,8.5071,5.92496
520,9.50416,8.0166,6.12939
521,9.64787,8.90821,4.4441
522,10.553,8.59178,4.48382
523,9.89962,8.34186,2.21886
524,10.4895,8.11242,2.37657
525,8.35989,7.51473,2.70985
526,8.11005,7.46263,2.85088
527,8.25633,8.00674,3.37609
528,8.50505,8.20004,3.76913
529,8.62802,7.59804,3.91334
530,9.47911,7.29262,4.27954
531,7.53844,7.93786,4.03321
532,7.71477,8.52889,3.91478
533,8.07429,7.85526,4.02552
534,9.0181,8.27764,4.6419
